,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
0,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,1,0,39.0,1,1,0,0,0,0,0,0,1,0,0,1
1,0,2,1,1,0,1,1,1,3,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,3,0,0,1,1,1,1,1,29.0,0,1,1,0,0,1,1,0,1,0,0,1
2,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,3,1,1,0,0,0,0,1,38.0,2,1,0,0,0,0,0,0,1,0,0,0
4,0,2,0,1,1,1,0,0,2,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,3,1,1,1,1,1,1,1,43.0,1,1,1,1,1,1,1,0,0,1,0,1
5,0,6,1,1,1,0,0,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,1,42.0,1,1,1,1,0,0,0,0,1,0,0,0
6,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,30.0,1,1,0,0,0,1,1,0,1,0,0,0
7,0,6,1,1,1,1,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,1,1,37.0,2,1,0,0,1,1,1,0,0,1,0,1
8,0,3,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,0,1,1,1,1,1,44.0,1,1,0,0,0,1,1,0,0,1,0,1
10,0,3,1,1,1,0,1,1,4,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,4,1,0,1,1,1,1,1,28.0,0,0,1,0,0,1,1,0,1,0,0,1
11,0,4,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,34.0,1,0,0,0,0,1,1,0,1,0,0,1
12,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,1,1,1,1,1,30.0,2,1,1,0,1,1,1,0,0,1,0,1
13,0,4,0,1,1,1,1,1,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,44.0,1,1,1,1,0,0,0,1,1,0,0,1
16,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1,1,1,1,1,1,1,32.0,2,0,1,0,0,0,0,0,0,0,1,1
17,0,5,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,34.0,0,1,0,0,0,0,0,0,1,0,0,0
19,0,4,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,31.0,1,1,1,0,0,1,1,0,1,0,0,1
20,0,2,1,1,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,26.0,1,1,0,0,0,1,1,0,1,0,0,1
21,0,6,0,1,1,0,1,0,3,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,35.0,0,0,0,0,0,1,1,0,1,0,0,0
22,0,3,1,1,1,1,0,0,4,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,2,0,0,1,1,0,0,0,25.0,1,1,0,0,0,0,0,0,1,0,0,0
23,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,1,1,33.0,1,1,0,0,0,0,0,0,1,0,0,1
25,0,4,0,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,42.0,0,1,0,0,0,0,0,0,1,0,0,0
26,0,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,3,1,1,1,1,1,1,1,27.0,1,1,0,1,0,0,0,0,1,0,0,1
27,0,4,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,35.0,0,1,0,0,0,0,0,1,1,0,0,1
28,0,5,0,1,1,0,1,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,2,1,1,1,1,1,0,1,34.0,0,0,0,0,0,0,0,1,0,1,0,1
29,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,32.0,0,1,0,0,0,0,0,0,0,0,1,1
30,0,4,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,32.0,0,1,0,0,0,0,0,0,0,0,1,1
31,0,4,1,1,1,1,0,1,4,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,4,0,0,0,0,0,1,1,30.0,1,1,0,0,0,1,1,0,1,0,0,1
32,0,6,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,31.0,0,1,1,0,1,1,1,1,1,0,0,1
34,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,36.0,1,1,0,1,0,0,0,0,1,0,0,0
35,0,4,1,1,0,0,0,1,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,33.0,0,1,1,0,0,0,0,0,1,0,0,0
36,0,3,1,1,1,0,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,44.0,2,1,0,0,0,1,1,0,1,0,0,1
37,0,4,1,1,0,1,0,0,3,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,29.0,0,0,1,0,0,0,0,1,1,0,0,1
38,0,4,1,1,0,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,1,1,1,29.0,1,1,0,0,0,0,0,1,1,0,0,1
44,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,41.0,0,1,0,0,0,1,1,0,1,0,0,0
