,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
2,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,3,1,1,0,0,0,0,1,38.0,2,1,0,0,0,0,0,0,1,0,0,0
5,0,6,1,1,1,0,0,1,3,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,1,42.0,1,1,1,1,0,0,0,0,1,0,0,0
6,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,30.0,1,1,0,0,0,1,1,0,1,0,0,0
17,0,5,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,34.0,0,1,0,0,0,0,0,0,1,0,0,0
21,0,6,0,1,1,0,1,0,3,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,35.0,0,0,0,0,0,1,1,0,1,0,0,0
22,0,3,1,1,1,1,0,0,4,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,2,0,0,1,1,0,0,0,25.0,1,1,0,0,0,0,0,0,1,0,0,0
25,0,4,0,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,42.0,0,1,0,0,0,0,0,0,1,0,0,0
34,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,36.0,1,1,0,1,0,0,0,0,1,0,0,0
35,0,4,1,1,0,0,0,1,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,33.0,0,1,1,0,0,0,0,0,1,0,0,0
44,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,41.0,0,1,0,0,0,1,1,0,1,0,0,0
59,0,4,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,40.0,1,1,0,0,0,1,1,0,1,0,0,0
77,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,38.0,0,0,1,0,0,0,0,0,0,1,0,0
78,0,3,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,33.0,1,0,1,0,0,1,1,0,1,0,0,0
80,0,1,1,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,21.0,0,1,0,1,0,0,0,0,1,0,0,0
83,0,3,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,1,1,0,0,1,1,1,0,1,0,0,0
93,0,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,33.6880650994575,2,0,1,0,0,0,0,0,1,0,0,0
96,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,2,1,1,0,0,0,0,0,36.0,2,0,1,0,0,1,1,0,0,1,0,0
97,0,3,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0,46.0,1,1,0,1,0,1,1,0,1,0,0,0
100,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,40.0,1,0,0,1,0,1,1,0,1,0,0,0
115,0,3,0,1,1,1,0,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,51.0,1,0,0,0,0,1,1,0,1,0,0,0
128,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,0,0,34.0,1,0,1,0,0,0,0,0,1,0,0,0
135,0,6,0,1,1,0,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,38.0,1,0,0,1,0,1,1,0,1,0,0,0
141,0,3,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,1,1,1,0,0,0,0,26.0,1,0,1,0,0,1,1,0,0,1,0,0
147,0,2,1,1,1,1,0,0,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,44.0,1,1,0,1,0,1,1,0,1,0,0,0
155,0,3,1,1,1,0,1,0,4,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,1,1,0,0,0,29.0,2,1,0,0,0,1,1,0,1,0,0,0
158,0,6,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,42.0,2,1,1,1,0,0,0,0,1,0,0,0
164,0,6,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,21.0,0,0,0,0,1,1,1,0,1,0,0,0
165,0,6,0,1,1,0,1,0,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,0,0,1,0,0,0
166,0,6,0,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,34.0,1,0,1,0,0,0,0,0,0,1,0,0
171,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,2,1,1,0,0,1,1,0,1,0,0,0
172,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,3,0,0,1,1,0,0,1,37.0,2,1,0,0,0,1,1,0,1,0,0,0
175,0,3,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,23.0,1,0,1,0,0,1,1,0,1,0,0,0
180,0,2,1,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,0,0,0,37.0,1,1,0,1,0,0,0,0,1,0,0,0
181,0,4,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,37.0,0,0,0,1,0,0,0,0,1,0,0,0
185,0,1,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,29.0,1,1,0,1,0,0,0,0,1,0,0,0
201,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,35.0,2,1,0,1,0,0,0,0,1,0,0,0
209,0,4,1,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,37.0,2,0,0,0,1,0,0,0,1,0,0,0
214,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,30.0,1,1,0,0,0,0,0,0,1,0,0,0
215,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,29.0,2,1,0,0,0,1,1,0,1,0,0,0
217,0,3,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,25.0,1,1,0,0,0,0,0,0,1,0,0,0
218,0,5,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,24.0,0,1,1,0,0,0,0,0,1,0,0,0
219,0,6,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,1,25.0,1,1,0,0,0,0,0,0,1,0,0,0
222,0,4,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,0,1,0,0,0,1,1,0,1,0,0,0
224,0,4,1,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,3,0,0,1,0,0,0,0,31.0,2,1,0,1,0,0,0,0,1,0,0,0
237,0,4,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,31.0,0,1,1,0,0,0,0,0,1,0,0,0
239,0,4,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,31.0,1,1,0,0,0,0,0,0,1,0,0,0
241,0,2,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,1,28.0,1,1,1,0,0,1,1,0,1,0,0,0
243,0,5,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,27.0,2,1,0,0,0,0,0,0,1,0,0,0
248,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,36.0,0,1,1,0,0,1,1,0,1,0,0,0
262,0,6,0,1,1,1,1,1,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,4,1,0,0,0,0,0,1,37.0,1,0,0,0,0,0,0,0,1,0,0,0
265,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,38.0,0,1,0,0,1,0,0,0,1,0,0,0
273,0,3,1,1,1,0,0,1,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,36.0,0,0,1,0,0,1,1,0,1,0,0,0
287,0,5,1,1,1,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,0,0,0,31.0,1,1,0,0,0,1,1,0,1,0,0,0
290,0,2,1,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,29.0,0,1,0,0,0,0,0,0,1,0,0,0
299,0,6,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,22.0,1,0,1,0,0,0,0,0,1,0,0,0
305,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,39.0,2,1,0,0,0,1,0,0,1,0,0,0
307,0,5,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,31.0,1,0,0,0,1,0,0,0,0,1,0,0
316,0,3,0,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,36.0,1,0,0,0,0,1,1,0,1,0,0,0
320,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,32.0,0,1,1,0,0,0,0,0,0,1,0,0
329,0,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,35.0,1,1,1,1,0,1,1,0,1,0,0,0
342,0,2,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,26.0,0,1,1,1,0,0,0,0,1,0,0,0
351,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,22.0,0,1,0,0,0,0,0,0,1,0,0,0
352,0,1,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,1,0,1,1,0,0,1,51.0,0,1,1,0,0,1,1,0,1,0,0,0
356,0,4,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,40.0,2,1,1,0,1,1,1,0,1,0,0,0
364,0,4,1,1,1,1,1,1,4,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,42.0,2,0,0,1,1,1,1,0,1,0,0,0
391,0,6,1,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,26.0,0,0,1,0,0,1,1,0,0,1,0,0
397,0,3,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,22.0,0,1,0,0,0,0,0,0,1,0,0,0
400,0,4,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,34.0,0,1,0,1,0,1,1,0,1,0,0,0
405,0,3,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,1,0,0,0,0,26.0,2,0,1,0,0,0,0,0,1,0,0,0
414,0,3,1,1,1,0,1,0,4,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,4,0,0,0,0,0,0,1,32.0,0,1,0,0,0,0,0,0,1,0,0,0
421,0,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,23.0,0,1,0,0,0,1,1,0,0,1,0,0
425,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,26.0,1,1,0,0,0,1,1,0,1,0,0,0
426,0,6,1,1,1,1,1,1,2,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,2,0,0,1,0,0,0,0,30.0,1,0,0,1,0,1,1,0,1,0,0,0
427,0,4,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,27.0,2,1,0,0,0,1,0,0,0,1,0,0
432,0,4,1,1,1,0,1,1,4,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,34.0,1,1,0,0,1,0,0,0,1,0,0,0
435,0,4,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,4,1,0,0,0,0,0,0,27.0,1,1,0,1,0,0,0,0,1,0,0,0
437,0,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,26.0,0,1,1,0,0,0,0,0,1,0,0,0
439,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,27.0,1,1,0,0,0,1,1,0,1,0,0,0
448,0,4,1,1,1,0,0,0,3,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,31.0,1,1,0,0,0,1,1,0,1,0,0,0
449,0,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,31.0,0,1,0,0,0,0,0,0,1,0,0,0
459,0,1,0,1,1,0,1,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,2,0,0,1,1,0,0,1,38.0,1,1,0,0,0,1,1,0,1,0,0,0
