,Are you self-employed?,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
9,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,1,1,30.0,2,1,1,0,0,1,1,0,1,0,0,1
33,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,37.0,1,1,1,0,0,0,0,0,1,0,0,0
40,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,3,1,0,1,1,1,0,0,34.0,1,1,0,1,0,1,1,0,1,0,0,1
43,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,3,1,0,1,1,1,0,1,28.0,1,1,0,1,0,0,0,0,1,0,0,1
52,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,31.0,1,1,1,0,0,0,0,0,1,0,0,0
63,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,2,1,1,1,1,1,0,0,29.0,2,1,1,0,0,0,0,1,1,0,0,1
65,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,35.0,1,1,0,0,0,0,0,0,1,0,0,0
70,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,1,39.0,1,1,0,0,0,0,0,0,1,0,0,0
76,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,3,1,1,1,1,1,0,0,19.0,0,1,0,0,0,0,0,0,1,0,0,1
82,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,39.0,1,1,0,0,0,0,0,0,1,0,0,1
84,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,4,0,0,1,1,1,1,1,36.0,1,1,0,0,0,0,0,0,1,0,0,1
88,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,30.0,1,1,1,0,0,1,1,1,1,0,0,1
98,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,3,1,1,1,1,1,0,0,39.0,1,1,0,1,1,0,0,0,1,0,0,1
105,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,1,1,31.0,2,1,1,0,0,1,1,1,1,0,0,1
109,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,3,0,0,1,1,1,1,1,30.0,0,1,1,0,0,0,0,0,1,0,0,1
113,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,22.0,1,1,1,0,0,0,0,0,1,0,0,1
114,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,3,1,1,1,1,1,1,0,37.0,2,1,0,0,0,0,0,0,0,1,0,1
122,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,30.0,1,1,0,1,0,0,0,0,1,0,0,1
124,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,3,1,0,1,1,1,1,1,48.0,1,0,1,0,0,1,1,0,0,1,0,1
125,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,1,55.0,2,1,1,1,0,1,1,1,0,1,0,1
127,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,38.0,1,1,0,0,0,0,0,0,1,0,0,0
145,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,4,0,0,1,1,1,0,0,40.0,2,1,0,0,0,0,0,1,1,0,0,1
